Designator,Mid X,Mid Y,Layer,Rotation
LED162, 3.75,26.25,Top,0.0
LED163, 6.25,26.25,Top,0.0
LED164, 8.75,26.25,Top,0.0
LED165,11.25,26.25,Top,0.0
LED166,13.75,26.25,Top,0.0
LED167,16.25,26.25,Top,0.0
LED168,18.75,26.25,Top,0.0
LED169,21.25,26.25,Top,0.0
LED170,23.75,26.25,Top,0.0
LED171,26.25,26.25,Top,0.0
LED172,28.75,26.25,Top,0.0
LED173,31.25,26.25,Top,0.0
LED174,33.75,26.25,Top,0.0
LED175,36.25,26.25,Top,0.0
LED176,38.75,26.25,Top,0.0
LED177, 1.25,28.75,Top,0.0
LED178, 3.75,28.75,Top,0.0
LED179, 6.25,28.75,Top,0.0
LED180, 8.75,28.75,Top,0.0
LED181,11.25,28.75,Top,0.0
LED182,13.75,28.75,Top,0.0
LED183,16.25,28.75,Top,0.0
LED184,18.75,28.75,Top,0.0
LED185,21.25,28.75,Top,0.0
LED186,23.75,28.75,Top,0.0
LED187,26.25,28.75,Top,0.0
LED188,28.75,28.75,Top,0.0
LED189,31.25,28.75,Top,0.0
LED190,33.75,28.75,Top,0.0
LED191,36.25,28.75,Top,0.0
LED192,38.75,28.75,Top,0.0
LED193, 1.25,31.25,Top,0.0
LED194, 3.75,31.25,Top,0.0
LED195, 6.25,31.25,Top,0.0
LED196, 8.75,31.25,Top,0.0
LED197,11.25,31.25,Top,0.0
LED198,13.75,31.25,Top,0.0
LED199,16.25,31.25,Top,0.0
LED200,18.75,31.25,Top,0.0
LED201,21.25,31.25,Top,0.0
LED202,23.75,31.25,Top,0.0
LED203,26.25,31.25,Top,0.0
LED204,28.75,31.25,Top,0.0
LED205,31.25,31.25,Top,0.0
LED206,33.75,31.25,Top,0.0
LED207,36.25,31.25,Top,0.0
LED208,38.75,31.25,Top,0.0
LED209, 1.25,33.75,Top,0.0
LED210, 3.75,33.75,Top,0.0
LED211, 6.25,33.75,Top,0.0
LED212, 8.75,33.75,Top,0.0
LED213,11.25,33.75,Top,0.0
LED214,13.75,33.75,Top,0.0
LED215,16.25,33.75,Top,0.0
LED216,18.75,33.75,Top,0.0
LED217,21.25,33.75,Top,0.0
LED218,23.75,33.75,Top,0.0
LED219,26.25,33.75,Top,0.0
LED220,28.75,33.75,Top,0.0
LED221,31.25,33.75,Top,0.0
LED222,33.75,33.75,Top,0.0
LED223,36.25,33.75,Top,0.0
LED224,38.75,33.75,Top,0.0
LED225, 1.25,36.25,Top,0.0
LED226, 3.75,36.25,Top,0.0
LED227, 6.25,36.25,Top,0.0
LED228, 8.75,36.25,Top,0.0
LED229,11.25,36.25,Top,0.0
LED230,13.75,36.25,Top,0.0
LED231,16.25,36.25,Top,0.0
LED232,18.75,36.25,Top,0.0
LED233,21.25,36.25,Top,0.0
LED234,23.75,36.25,Top,0.0
LED235,26.25,36.25,Top,0.0
LED236,28.75,36.25,Top,0.0
LED237,31.25,36.25,Top,0.0
LED238,33.75,36.25,Top,0.0
LED239,36.25,36.25,Top,0.0
LED240,38.75,36.25,Top,0.0
LED241, 1.25,38.75,Top,0.0
LED242, 3.75,38.75,Top,0.0
LED243, 6.25,38.75,Top,0.0
LED244, 8.75,38.75,Top,0.0
LED245,11.25,38.75,Top,0.0
LED246,13.75,38.75,Top,0.0
LED247,16.25,38.75,Top,0.0
LED248,18.75,38.75,Top,0.0
LED249,21.25,38.75,Top,0.0
LED250,23.75,38.75,Top,0.0
LED251,26.25,38.75,Top,0.0
LED252,28.75,38.75,Top,0.0
LED253,31.25,38.75,Top,0.0
LED254,33.75,38.75,Top,0.0
LED255,36.25,38.75,Top,0.0
LED256,38.75,38.75,Top,0.0
